"Player","SC","MC","LC","Alley","Cutting","Driving","Dunk","Fadeaway","Hook","Jump","Layup","Pullup","Running","Stepback","Tip","Turnaround","FTp","REBp","ASTp","TOVp","STLp","BLKp","ASD"
"Frank Mason III",0.708333333333333,0.379310344827586,0.337349397590361,0,0,0.494736842105263,0,0.333333333333333,0,0.375838926174497,0.4,0.394736842105263,0.678571428571429,0.583333333333333,0,0,0.817391304347826,0.131578947368421,0.148785425101215,0.0657894736842105,0.034412955465587,0.0101214574898785,4.73908
"Frank Ntilikina",0.642857142857143,0.331428571428571,0.339285714285714,0,1,0.646153846153846,0.666666666666667,0,0,0.307420494699647,0.67741935483871,0.443037974683544,0.454545454545455,0.166666666666667,0,0.75,0.720588235294118,0.10387323943662,0.146713615023474,0.0768779342723005,0.0381455399061033,0.0105633802816901,5.925
"Fred VanVleet",0.761194029850746,0.351351351351351,0.417322834645669,0,0,0.597701149425287,0,1,1,0.4125,0.684210526315789,0.348484848484849,0.686274509803922,0.333333333333333,0,1,0.829268292682927,0.124586549062845,0.153252480705623,0.0490628445424476,0.0463065049614112,0.0121278941565601,5.37306
"Furkan Aldemir",0.785714285714286,0.5,0,0,0,0.5,1,0,0,0.464285714285714,0.681818181818182,0,1,0,0.6875,0,0.481481481481481,0.325323475046211,0.0517560073937153,0.0314232902033272,0.0314232902033272,0.0295748613678373,0.62288
"Garrett Temple",0.635658914728682,0.368700265251989,0.366528354080221,1,1,0.71,0.666666666666667,0.5,1,0.347866419294991,0.647398843930636,0.525862068965517,0.775700934579439,0.53968253968254,1,0.333333333333333,0.744565217391304,0.106021925213996,0.0840967112179006,0.044601291485208,0.043099564499174,0.0139660609701156,5.70549
"Gary Harris",0.731958762886598,0.445333333333333,0.382231404958678,0.714285714285714,0.857142857142857,0.677611940298507,0.947368421052632,0.333333333333333,0.5,0.388117283950617,0.623318385650224,0.497076023391813,0.81858407079646,0.493150684931507,1,0.2,0.802521008403361,0.0880121396054628,0.0736653331493999,0.0456614705476617,0.0453855704235067,0.00662160297972134,6.54033
"Gary Neal",0.521505376344086,0.447791164658635,0.362186788154898,0,0,0.726190476190476,0,0.625,0.5,0.388246628131021,0.524590163934426,0.688311688311688,0.477272727272727,0.8,0,0,0.886792452830189,0.0963748894783377,0.0729442970822281,0.0481874447391689,0.0207780725022104,0.0008841732979664,7.57133
"George Hill",0.63768115942029,0.423751686909582,0.383248730964467,0.75,1,0.712468193384224,0.947368421052632,0.418604651162791,0.25,0.382570162481536,0.727554179566563,0.523510971786834,0.76536312849162,0.530612244897959,0.5,0.714285714285714,0.791784702549575,0.117389244254916,0.120232172470978,0.0444207533759773,0.0324567638000474,0.00947642738687515,5.76647
"Gerald Green",0.565420560747664,0.435020519835841,0.363337713534823,0.75,1,0.649532710280374,0.895522388059702,0.626865671641791,0.333333333333333,0.362278244631186,0.563025210084034,0.578571428571429,0.632352941176471,0.419354838709677,0.333333333333333,0.558823529411765,0.828729281767956,0.123694660979556,0.0480953081335491,0.0516252390057361,0.0269157229004265,0.0139726430357405,7.91768
"Gerald Henderson",0.566473988439306,0.3969769291965,0.328740157480315,0.952380952380952,1,0.79646017699115,0.967213114754098,0.564814814814815,0.470588235294118,0.361158432708688,0.6,0.534136546184739,0.732394366197183,0.545454545454545,0.666666666666667,0.447058823529412,0.793309438470729,0.124128312412831,0.0750602256878408,0.0447571953848104,0.0229491568403702,0.0111576011157601,5.55525
