"Player","P2p","P3p","FTp","FTA","P2A","P3A","BLKp","TOVp","ASTp","REBp","PTSp","STLp"
"Jose Calderon",0.545454545454545,0.463917525773196,0.8,30,88,97,0.00218818380743982,0.0448577680525164,0.12800875273523,0.0919037199124726,0.278993435448578,0.0295404814004376
"Cedi Osman",0.585858585858586,0.367816091954023,0.565217391304348,46,99,87,0.00446428571428571,0.0476190476190476,0.0610119047619048,0.178571428571429,0.354166666666667,0.0327380952380952
"George Hill",0.509090909090909,0.350649350649351,0.804878048780488,41,110,77,0.0224215246636771,0.0418535127055306,0.100149476831091,0.0956651718983558,0.337817638266069,0.0328849028400598
"Jordan Clarkson",0.486033519553073,0.407407407407407,0.810344827586207,58,179,108,0.00474683544303797,0.0506329113924051,0.0759493670886076,0.0917721518987342,0.558544303797468,0.0300632911392405
"Channing Frye",0.683544303797468,0.333333333333333,0.933333333333333,15,79,90,0.0220183486238532,0.0311926605504587,0.0513761467889908,0.201834862385321,0.388990825688073,0.0311926605504587
"Rodney Hood",0.4921875,0.352112676056338,0.8125,32,128,71,0.0093984962406015,0.0131578947368421,0.056390977443609,0.101503759398496,0.426691729323308,0.0281954887218045
"Harrison Barnes",0.477714285714286,0.357357357357357,0.827476038338658,313,875,333,0.00531511009870919,0.0447987851176917,0.0577069096431283,0.177676537585421,0.55125284738041,0.0186028853454822
"Yogi Ferrell",0.477088948787062,0.373259052924791,0.796116504854369,103,371,359,0.00394563787812363,0.0341955282770715,0.0881192459447611,0.10916264796142,0.367382726874178,0.0280578693555458
"Wesley Matthews",0.440677966101695,0.380597014925373,0.821782178217822,101,295,402,0.00750821210699202,0.0389488503050211,0.0807132801501642,0.0929141248240263,0.376349131862975,0.0356640075082121
"Dennis Smith Jr",0.435036496350365,0.312684365781711,0.694300518134715,193,685,339,0.00878477306002928,0.0946803318692045,0.174719375305027,0.126891166422645,0.511469009272816,0.0346510492923377
